repository;project;g;gm;h;hm;i;im;j;jm;k;km;;;;
aaf;aaf;;;;;;;;;;;;;;
aaf/authz;aaf;;;;;;;;;;;;;;
aaf/cadi;aaf;;;;;;;;;;;;;;
aaf/certservice;aaf;;;;;;;;;;;;;;
aaf/inno;aaf;;;;;;;;;;;;;;
aaf/luaplugin;aaf;;;;;;;;;;;;;;
aaf/oom;aaf;;;;;;;;;;;;;;
aaf/sms;aaf;;;;;;;;;;;;;;
aaf/sshsm;aaf;;;;;;;;;;;;;;
aai;aai;g;gm;h;;;;;;;;;;;
aai/aai-common;aai;g;gm;h;;;;;;;;;;;
aai/aai-config;aai;g;gm;h;;;;;;;;;;;
aai/aai-data;aai;g;gm;h;;;;;;;;;;;
aai/aai-service;aai;g;gm;h;;;;;;;;;;;
aai/babel;aai;g;gm;h;;;;;;;;;;;
aai/cacher;aai;g;gm;h;;;;;;;;;;;
aai/chameleon;aai;g;gm;h;;;;;;;;;;;
aai/champ;aai;g;gm;h;;;;;;;;;;;
aai/data-router;aai;g;gm;h;;;;;;;;;;;
aai/eis;aai;g;gm;h;;;;;;;;;;;
aai/enricher;aai;g;gm;h;;;;;;;;;;;
aai/esr-gui;aai;g;gm;h;;;;;;;;;;;
aai/esr-server;aai;g;gm;h;;;;;;;;;;;
aai/event-client;aai;g;gm;h;;;;;;;;;;;
aai/gallifrey;aai;g;gm;h;;;;;;;;;;;
aai/gap;aai;g;gm;h;;;;;;;;;;;
aai/gizmo;aai;g;gm;h;;;;;;;;;;;
aai/graphadmin;aai;g;gm;h;;;;;;;;;;;
aai/graphgraph;aai;g;gm;h;;;;;;;;;;;
aai/logging-service;aai;g;gm;h;;;;;;;;;;;
aai/model-loader;aai;g;gm;h;;;;;;;;;;;
aai/oom;aai;g;gm;h;;;;;;;;;;;
aai/resources;aai;g;gm;h;;;;;;;;;;;
aai/rest-client;aai;g;gm;h;;;;;;;;;;;
aai/router-core;aai;g;gm;h;;;;;;;;;;;
aai/schema-service;aai;g;gm;h;;;;;;;;;;;
aai/search-data-service;aai;g;gm;h;;;;;;;;;;;
aai/sparky-be;aai;g;gm;h;;;;;;;;;;;
aai/sparky-fe;aai;g;gm;h;;;;;;;;;;;
aai/spike;aai;g;gm;h;;;;;;;;;;;
aai/tabular-data-service;aai;g;gm;h;;;;;;;;;;;
aai/test-config;aai;g;gm;h;;;;;;;;;;;
aai/traversal;aai;g;gm;h;;;;;;;;;;;
aai/validation;aai;g;gm;h;;;;;;;;;;;
appc;appc;;;;;;;;;;;;;;
appc/cdt;appc;;;;;;;;;;;;;;
appc/deployment;appc;;;;;;;;;;;;;;
appc/parent;appc;;;;;;;;;;;;;;
ccsdk;ccsdk;g;gm;h;;;;;;;;;;;
ccsdk/apps;ccsdk;g;gm;h;;;;;;;;;;;
ccsdk/cds;ccsdk;g;gm;h;;;;;;;;;;;
ccsdk/dashboard;ccsdk;g;gm;h;;;;;;;;;;;
ccsdk/distribution;ccsdk;g;gm;h;;;;;;;;;;;
ccsdk/features;ccsdk;g;gm;h;;;;;;;;;;;
ccsdk/oran;ccsdk;g;gm;h;;;;;;;;;;;
ccsdk/parent;ccsdk;g;gm;h;;;;;;;;;;;
ccsdk/platform/blueprints;ccsdk;g;gm;h;;;;;;;;;;;
ccsdk/platform/nbapi;ccsdk;g;gm;h;;;;;;;;;;;
ccsdk/platform/plugins;ccsdk;g;gm;h;;;;;;;;;;;
ccsdk/sli;ccsdk;g;gm;h;;;;;;;;;;;
ccsdk/sli/adaptors;ccsdk;g;gm;h;;;;;;;;;;;
ccsdk/sli/core;ccsdk;g;gm;h;;;;;;;;;;;
ccsdk/sli/northbound;ccsdk;g;gm;h;;;;;;;;;;;
ccsdk/sli/plugins;ccsdk;g;gm;h;;;;;;;;;;;
ccsdk/storage/esaas;ccsdk;g;gm;h;;;;;;;;;;;
ccsdk/storage/pgaas;ccsdk;g;gm;h;;;;;;;;;;;
ccsdk/utils;ccsdk;g;gm;h;;;;;;;;;;;
ci-management;ci-management;;;;;;;;;;;;;;
clamp;clamp;g;;;;;;;;;;;;;
clamp/dashboard;clamp;g;;;;;;;;;;;;;
clamp/oom;clamp;g;;;;;;;;;;;;;
clamp/ui;clamp;g;;;;;;;;;;;;;
cli;cli;g;;h;;;;;;;;;;;
cps;cps;;;h;;i;;;;;;;;;
